Item,,Quantity,Unit Price,Total Price(CAD),URL
Keyboard PCB,,5,8.64,43.18,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
SK6812 MINI-E,,100,0.07,7.25,https://www.aliexpress.com/item/1005005186515165.html?spm=a2g0o.detail.0.0.14e4nNtznNtzOB&mp=1&pdp_npi=6%40dis%21CAD%21CAD+7.25%21CAD+4.73%21%21CAD+4.73%21%21%21%40210328db17820150712871148e708f%2112000032026120161%21ct%21CA%217828448027%21%211%210%21
Kailh Hot-swappable Sockets,,90,0.23,21.13,https://www.aliexpress.com/item/1005002240956679.html?spm=a2g0o.detail.0.0.2181UnstUnstwW&mp=1&pdp_npi=6%40dis%21CAD%21CAD+15.74%21CAD+14.48%21%21CAD+14.48%21%21%21%402103122117820143535241604ec58f%2112000048872238968%21ct%21CA%217828448027%21%211%210%21
Gateron Clear Yellow MX Switches,,90,0.4,36.4,https://www.aliexpress.com/item/1005006376024657.html?spm=a2g0o.productlist.0.0.2aa56NJI6NJIrj&mp=1&pdp_npi=6%40dis%21CAD%21CAD+36.40%21CAD+21.93%21%21CAD+21.93%21%21%21%402103122117820135581002130ec58f%2112000036949493878%21ct%21CA%217828448027%21%211%210%21
Green PBT Keycaps Cherry Profile,,1,41.48,41.48,https://www.aliexpress.com/item/1005011698106230.html?spm=a2g0o.productlist.main.26.2aa56NJI6NJIrj&algo_pvid=a63b7bbd-3eb6-4d5e-be3b-470bf1dd58c0&algo_exp_id=a63b7bbd-3eb6-4d5e-be3b-470bf1dd58c0-25&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2138.73%2124.79%21%21%2126.76%2117.13%21%402101d97817820135325363822e8929%2112000056278234003%21sea%21CA%217828448027%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3dfa8a49%3Bm03_new_user%3A-29895&curPageLogUid=LUT1sxCeVqjB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011698106230%7C_p_origin_prod%3A
Raspberry Pi Pico,,1,9.61,9.61,https://www.aliexpress.com/item/1005008488567735.html?spm=a2g0o.productlist.main.11.6d9c53d3w4FjBK&algo_pvid=b0a8d1be-a12d-493a-86f7-4a413408928d&algo_exp_id=b0a8d1be-a12d-493a-86f7-4a413408928d-10&pdp_ext_f=%7B%22order%22%3A%22238%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21BDT%21306.37%21214.44%21%21%2117.53%2112.27%21%40210123bc17663989641772421e2e0d%2112000045364738896%21sea%21BD%21890572683%21ACX%211%210%21n_tag%3A-29919%3Bd%3A22373611%3Bm03_new_user%3A-29894&curPageLogUid=FYVvLIyyXM7I&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008488567735%7C_p_origin_prod%3A&aff_fcid=dce61beefcb647389e1909da4bce83fa-1782018134546-06343-_c2z7Inq5&tt=CPS_NORMAL&aff_fsk=_c2z7Inq5&aff_platform=portals-tool&sk=_c2z7Inq5&aff_trace_key=dce61beefcb647389e1909da4bce83fa-1782018134546-06343-_c2z7Inq5&terminal_id=a6aab7e9213e44ec8460500731546a6b&afSmartRedirect=y
Pin Header Kit for Raspberry Pi Pico,,1,4.34,4.34,https://www.aliexpress.com/item/1005011890511721.html?spm=a2g0o.productlist.main.3.1ad5tGTPtGTPhq&algo_pvid=d3ff1000-c459-4608-995b-4cd78ddb5e55&algo_exp_id=d3ff1000-c459-4608-995b-4cd78ddb5e55-2&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.34%211.76%21%21%213.00%211.22%21%40210319b717820182038143891e742a%2112000056910353722%21sea%21CA%217828448027%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3dfa8a49%3Bm03_new_user%3A-29895%3BpisId%3A5000000207284321&curPageLogUid=W7DVBS57MRTf&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011890511721%7C_p_origin_prod%3A
Plate-Mounted Stabilizers (4x2u 1x6.25u),,1,13.53,13.53,https://www.aliexpress.com/item/1005001840872635.html?spm=a2g0o.productlist.main.2.56c1bdGkbdGkkp&algo_pvid=00fce70c-ea1d-4432-9239-21779d81a662&algo_exp_id=00fce70c-ea1d-4432-9239-21779d81a662-1&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2112.61%2111.86%21%21%218.71%218.19%21%402101f54117820190635584331e43ce%2112000017814370416%21sea%21CA%217828448027%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3dfa8a49%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=Rhk2c3Va2c9G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001840872635%7C_p_origin_prod%3A
Rotary Encoder Knob,,1,3.73,3.73,https://www.aliexpress.com/item/1005008610645902.html?spm=a2g0o.productlist.main.8.4cff5da5nSD5Jc&aem_p4p_detail=202606202214172048192130410400002043741&algo_pvid=8607e45e-3412-46d6-a5e9-5ea0b7fe92e8&algo_exp_id=8607e45e-3412-46d6-a5e9-5ea0b7fe92e8-7&pdp_ext_f=%7B%22order%22%3A%22331%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.46%214.35%21%21%213.08%213.00%21%402103274e17820188572767577e2c45%2112000045944331228%21sea%21CA%217828448027%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3dfa8a49%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=fTDSHgs01fhl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008610645902%7C_p_origin_prod%3A&search_p4p_id=202606202214172048192130410400002043741_2
EC11 Rotary Encoder Plum Axis,,5,16.37,16.37,https://www.aliexpress.com/item/1005011653314162.html?spm=a2g0o.productlist.main.14.7409ad7cFDtCjN&algo_pvid=aa1ff48c-15cf-44ad-98d6-0949c748634a&algo_exp_id=aa1ff48c-15cf-44ad-98d6-0949c748634a-13&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2116.25%217.63%21%21%2176.14%2135.74%21%402101e07217820186783357548e5ace%2112000056158778317%21sea%21CA%217828448027%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3dfa8a49%3Bm03_new_user%3A-29895%3BpisId%3A5000000206226397&curPageLogUid=7R8KvrnWqpem&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011653314162%7C_p_origin_prod%3A
0805 SMD Resistor 130Ω,,100,,,
0.96 ST7735 LCD,,1,11.26,11.26,https://www.lcsc.com/product-detail/C18198246.html?s_z=s_p_HS096T01H13&spm=wm.fly.bg.0.xh&lcsc_vid=Q1NaVgUETlkMXlIHE1ZWU1RWQVANU1ZfQ1heBVRTFVAxVlNeRVFfXl1TT1RaUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D
NMOS Transistor SOT-23,,10,,8.63,https://www.aliexpress.com/item/1005009954469992.html?spm=a2g0o.productlist.main.3.6880p0BLp0BLZY&algo_pvid=7efa4cf9-3cb9-450d-a30a-c4ad2598f5d9&algo_exp_id=7efa4cf9-3cb9-450d-a30a-c4ad2598f5d9-2&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.88%210.88%21%21%214.12%214.12%21%402101df0e17820202087972772e51ce%2112000050675890346%21sea%21CA%217828448027%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3dfa8a49%3Bm03_new_user%3A-29895&curPageLogUid=NSzXLXIYyNRr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009954469992%7C_p_origin_prod%3A#nav-description
08.05 SMD Resistor 5.1k,,,,,